2014-10-19 19:30:04 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-19 19:32:13 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 03:43:12 Debug: Notice (8): Undefined index: imagen_paciente in [C:\localhost\www\historial_clinico\app\controllers\administracion_controller.php, line 117]
2014-10-23 03:43:13 Debug: Notice (8): Undefined index: imagen_paciente in [C:\localhost\www\historial_clinico\app\controllers\administracion_controller.php, line 117]
2014-10-23 15:04:21 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:09:35 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:12 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:13 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:14 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:14 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:41 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:42 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:10:42 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:11:03 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:11:03 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:11:04 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:15:33 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:15:59 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:15:59 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:02 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:03 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:03 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:04 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:04 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:04 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:05 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:05 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:13 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:14 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:15 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-23 15:16:15 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
